Concept,Relation,Description,"Target object (should appear in the ""Concept list"")",Max Cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"Other characteristics: symmetric, transitive, has some special behaviour or meaning?",Needed by,Standards
EPS white,subClassOf,,Expanded polystyrene,,,,,
EPS grey,subClassOf,,Expanded polystyrene,,,,,
EPS grey-white,subClassOf,,Expanded polystyrene,,,,,
XPS white,subClassOf,,Extruded polystyrene,,,,,
PU with aluminium,subClassOf,,Polyurethane rigid foam,,,,,
PU with mineral fibre,subClassOf,,Polyurethane rigid foam,,,,,
PU slabstock foam,subClassOf,,Polyurethane rigid foam,,,,,
PIR rigid foam,subClassOf,,Polyurethane rigid foam,,,,,
Phenolic foam board,subClassOf,,Rigid phenolic foam,,,,,
Panel,subClassOf,,Foam glass,,,,,
Panel,subClassOf,,Expanded perlit,,,,,
Granulate,subClassOf,,Expanded perlit,,,,,
Wood fibre insulation boards,subClassOf,,Wood fibre,,,,,
"Wood fibre and wood chips, loose",subClassOf,,Wood fibre,,,,,
Cellulose insulation (loose fill),subClassOf,,Cellulose fibre,,,,,
Cellulose insulation (panels),subClassOf,,Cellulose fibre,,,,,
Conventional Cotton,subClassOf,,Cotton,,,,,
Organic cotton,subClassOf,,Cotton,,,,,
Aerated concrete,subClassOf,,Calcium silicate,,,,,
Calcium silicate,subClassOf,,Calcium silicate,,,,,
Thermal insulation composite system,subClassOf,,Thermal insulation composite system,,,,,
ETICS dowel,subClassOf,,Thermal insulation composite system,,,,,
ETICS completely,subClassOf,,Thermal insulation composite system,,,,,
Vacuum insulation panels,subClassOf,,Silicium dioxide based,,,,,
Hydrophobic panels,subClassOf,,Silicium dioxide based,,,,,
Structural timber,subClassOf,,Solid wood,,,,,
Solid structural timber (KVH),subClassOf,,Solid wood,,,,,
Duo and trio laminated beams,subClassOf,,Solid wood,,,,,
Glue-laminated timber,subClassOf,,Solid wood,,,,,
Glue-laminated timber board,subClassOf,,Solid wood,,,,,
3- and 5-ply wood,subClassOf,,Derived timber products,,,,,
Plywood,subClassOf,,Derived timber products,,,,,
Veneer layer wood,subClassOf,,Derived timber products,,,,,
Oriented strand board,subClassOf,,Derived timber products,,,,,
Laminated Veneer Lumber (LVL),subClassOf,,Derived timber products,,,,,
Particle boards,subClassOf,,Derived timber products,,,,,
Wood fibre boards,subClassOf,,Derived timber products,,,,,
Wood cement boards,subClassOf,,Derived timber products,,,,,
Wood plastic composties,subClassOf,,Derived timber products,,,,,
Laminate flooring,subClassOf,,Wooden floor,,,,,
Parquet,subClassOf,,Wooden floor,,,,,
Cork,subClassOf,,Wooden floor,,,,,
Steel reinforing bar,subClassOf,,Steel and iron,,,,,
Steel reinforcement mesh,subClassOf,,Steel and iron,,,,,
Structural steel profile,subClassOf,,Steel and iron,,,,,
Steel sheets,subClassOf,,Steel and iron,,,,,
Cast or forged steel and iron items,subClassOf,,Steel and iron,,,,,
Fixing material,subClassOf,,Steel and iron,,,,,
Stainless steel sheets,subClassOf,,Stainless steel,,,,,
Stainless steel profiles,subClassOf,,Stainless steel,,,,,
Stainless steel tap water tubes,subClassOf,,Stainless steel,,,,,
Fastener,subClassOf,,Stainless steel,,,,,
Aluminium sheets,subClassOf,,Aluminium,,,,,
Aluminium profiles,subClassOf,,Aluminium,,,,,
Cast aluminium,subClassOf,,Aluminium,,,,,
Aluminium foil,subClassOf,,Aluminium,,,,,
Copper sheets,subClassOf,,Copper,,,,,
